,movie,avg_compound
0,Iron Man 2,0.10426404040404028
1,Spider-Man: Homecoming,0.08332945205479436
2,Iron Man,0.0708513828238718
3,Iron Man 3,0.06488742454728369
4,Ant-Man,0.06194842995169075
5,Captain America: Civil War,0.05740537634408602
6,Captain America: The First Avenger,0.04644094955489615
7,Avengers: Endgame,0.04089669117647048
8,Thor: Ragnarok,0.04074203980099502
9,Avengers: Age of Ultron,0.04008031249999999
10,Black Panther,0.030662536023054764
11,Captain Marvel,0.025434620886981427
12,Thor,0.024850771055753246
13,Thor: The Dark World,0.02135367231638418
14,The Avengers,0.017931822971549
15,Captain America: The Winter Soldier,0.00897933168316832
16,Avengers: Infinity War,0.00013514376996805102
17,Guardians of the Galaxy Vol. 2,-0.003171779141104286
