,movie,total_words
0,Spider-Man: Homecoming,12214.0
1,Avengers: Endgame,11677.0
2,Iron Man 2,11342.0
3,Iron Man 3,10875.0
4,The Avengers,10643.0
5,Captain America: Civil War,10589.0
6,Avengers: Age of Ultron,10405.0
7,Iron Man,10004.0
8,Thor: Ragnarok,9658.0
9,Guardians of the Galaxy Vol. 2,9641.0
10,Ant-Man,9335.0
11,Thor,9299.0
12,Avengers: Infinity War,9017.0
13,Captain America: The Winter Soldier,8696.0
14,Black Panther,7720.0
15,Captain America: The First Avenger,7482.0
16,Thor: The Dark World,7418.0
17,Captain Marvel,7137.0
